3301,杭州市,0,,2,2,普通本科,250,浙江中医药大学,公办,33,浙江,医药类,
1301,石家庄市,0,,2,2,普通本科,595,河北师范大学,公办,13,河北,师范类,
4501,南宁市,0,,2,2,普通本科,530,广西医科大学,公办,45,广西,医药类,
1201,天津市,120103,河西区,2,2,普通本科,82,天津科技大学,公办,12,天津,理工类,
3702,青岛市,0,,2,2,普通本科,507,青岛科技大学,公办,37,山东,理工类,
3505,泉州市,350503,丰泽区,2,2,普通本科,465,华侨大学,公办,35,福建,综合类,
4401,广州市,440111,白云区,2,2,普通本科,290,广东外语外贸大学,公办,44,广东,语言类,
4103,洛阳市,410311,洛龙区,2,2,普通本科,460,河南科技大学,公办,41,河南,综合类,
2224,延边朝鲜族自治州,222401,延吉市,1,2,普通本科,129,延边大学,公办,22,吉林,综合类,双一流
1401,太原市,0,,2,2,普通本科,271,山西医科大学,公办,14,山西,医药类,
4405,汕头市,440511,金平区,2,2,普通本科,283,汕头大学,公办,44,广东,综合类,
4201,武汉市,420115,江夏区,2,2,普通本科,432,武汉纺织大学,公办,42,湖北,理工类,
3201,南京市,0,,2,2,普通本科,164,南京财经大学,公办,32,江苏,财经类,
1201,天津市,120118,静海区,2,2,普通本科,89,天津中医药大学,公办,12,天津,医药类,双一流
3607,赣州市,0,,2,2,普通本科,165,江西理工大学,公办,36,江西,理工类,
6101,西安市,0,,2,2,普通本科,352,西安科技大学,公办,61,陕西,理工类,
3502,厦门市,350211,集美区,2,2,普通本科,471,集美大学,公办,35,福建,综合类,
6201,兰州市,620105,安宁区,2,2,普通本科,495,西北师范大学,公办,62,甘肃,师范类,
4301,长沙市,430102,芙蓉区,2,2,普通本科,392,湖南农业大学,公办,43,湖南,农林类,
6301,西宁市,630104,城西区,1,2,普通本科,367,青海大学,公办,63,青海,综合类,双一流
5101,成都市,510115,温江区,2,2,普通本科,264,成都中医药大学,公办,51,四川,医药类,双一流
2102,大连市,210204,沙河口区,2,2,普通本科,225,辽宁师范大学,公办,21,辽宁,师范类,
3301,杭州市,0,,2,2,普通本科,258,浙江财经大学,公办,33,浙江,财经类,
3101,上海市,310115,浦东新区,2,2,普通本科,313,上海海事大学,公办,31,上海,理工类,
2201,长春市,0,,2,2,普通本科,384,吉林农业大学,公办,22,吉林,农林类,
3101,上海市,310117,松江区,2,2,普通本科,318,上海对外经贸大学,公办,31,上海,财经类,
3708,济宁市,0,,2,2,普通本科,510,曲阜师范大学,公办,37,山东,师范类,
4205,宜昌市,0,,2,2,普通本科,431,三峡大学,公办,42,湖北,综合类,
4403,深圳市,440307,龙岗区,2,2,普通本科,3251,深圳北理莫斯科大学,中外合作办学,44,广东,综合类,
3601,南昌市,0,,2,2,普通本科,157,华东交通大学,公办,36,江西,理工类,
3701,济南市,0,,2,2,普通本科,71,济南大学,公办,37,山东,综合类,
1401,太原市,0,,2,2,普通本科,277,中北大学,公办,14,山西,综合类,
3701,济南市,0,,2,2,普通本科,535,山东财经大学,公办,37,山东,财经类,
3601,南昌市,0,,2,2,普通本科,177,南昌航空大学,公办,36,江西,理工类,
1201,天津市,120111,西青区,2,2,普通本科,81,天津理工大学,公办,12,天津,理工类,
4303,湘潭市,0,,2,2,普通本科,388,湖南科技大学,公办,43,湖南,综合类,
3405,马鞍山市,0,,2,2,普通本科,69,安徽工业大学,公办,34,安徽,理工类,
4210,荆州市,421003,荆州区,2,2,普通本科,428,长江大学,公办,42,湖北,综合类,
6201,兰州市,0,,2,2,普通本科,483,兰州理工大学,公办,62,甘肃,理工类,
5001,重庆市,500108,南岸区,2,2,普通本科,1018,重庆交通大学,公办,50,重庆,理工类,
2101,沈阳市,0,,2,2,普通本科,227,沈阳工业大学,公办,21,辽宁,理工类,
3706,烟台市,370613,莱山区,2,2,普通本科,554,烟台大学,公办,37,山东,综合类,
3703,淄博市,370303,张店区,2,2,普通本科,540,山东理工大学,公办,37,山东,理工类,
3404,淮南市,0,,2,2,普通本科,68,安徽理工大学,公办,34,安徽,理工类,
5401,拉萨市,540102,城关区,1,2,普通本科,364,西藏大学,公办,54,西藏,综合类,双一流
3101,上海市,310110,杨浦区,2,2,普通本科,317,上海电力大学,公办,31,上海,理工类,
