0,教育学学士,0,0,本科,教育学,体育学类,足球运动,四年
0,教育学学士,0,0,本科,教育学,体育学类,马术运动与管理,四年
0,教育学学士,0,0,本科,教育学,体育学类,体育康养,四年
16,文学学士,10900,84,本科,文学,中国语言文学类,汉语言文学,四年
22,文学学士,10900,78,本科,文学,中国语言文学类,汉语言,四年
13,文学学士,11700,87,本科,文学,中国语言文学类,汉语国际教育,四年
37,文学学士,10100,63,本科,文学,中国语言文学类,中国少数民族语言文学,四年
24,文学学士,10500,76,本科,文学,中国语言文学类,古典文献学,四年
57,文学学士,12200,43,本科,文学,中国语言文学类,应用语言学,四年
18,文学学士,8800,82,本科,文学,中国语言文学类,秘书学,四年
0,文学学士,0,0,本科,文学,中国语言文学类,中国语言与文化,四年
0,文学学士,0,0,本科,文学,中国语言文学类,手语翻译,四年
0,文学学士,0,0,本科,文学,中国语言文学类,数字人文,四年
0,文学学士,0,0,本科,文学,中国语言文学类,中国古典学,四年
0,文学学士,0,0,本科,文学,中国语言文学类,汉学与中国学,四年
0,文学学士,0,0,本科,文学,中国语言文学类,应用中文,四年
0,文学学士,0,0,本科,文学,外国语言文学类,桑戈语,四年
11,文学学士,11900,89,本科,文学,外国语言文学类,英语,四年，五年
20,文学学士,11300,80,本科,文学,外国语言文学类,俄语,四年
17,文学学士,12800,83,本科,文学,外国语言文学类,德语,四年
15,文学学士,16500,85,本科,文学,外国语言文学类,法语,四年
19,文学学士,17900,81,本科,文学,外国语言文学类,西班牙语,四年
35,文学学士,19000,65,本科,文学,外国语言文学类,阿拉伯语,四年
20,文学学士,11200,80,本科,文学,外国语言文学类,日语,四年
38,文学学士,26900,62,本科,文学,外国语言文学类,波斯语,四年
15,文学学士,10100,85,本科,文学,外国语言文学类,朝鲜语,四年
0,文学学士,16400,0,本科,文学,外国语言文学类,菲律宾语,四年
0,文学学士,0,0,本科,文学,外国语言文学类,语言学,四年
0,文学学士,0,0,本科,文学,外国语言文学类,塔玛齐格特语,四年
0,文学学士,0,0,本科,文学,外国语言文学类,爪哇语,四年
0,文学学士,0,0,本科,文学,外国语言文学类,旁遮普语,四年
0,文学学士,16700,0,本科,文学,外国语言文学类,梵语巴利语,四年
21,文学学士,17900,79,本科,文学,外国语言文学类,印度尼西亚语,四年
22,文学学士,23600,78,本科,文学,外国语言文学类,印地语,四年
22,文学学士,13600,78,本科,文学,外国语言文学类,柬埔寨语,四年
12,文学学士,12300,88,本科,文学,外国语言文学类,老挝语,四年
26,文学学士,21000,74,本科,文学,外国语言文学类,缅甸语,四年
6,文学学士,13800,94,本科,文学,外国语言文学类,马来语,四年
0,文学学士,10900,0,本科,文学,外国语言文学类,蒙古语,四年
0,文学学士,16100,0,本科,文学,外国语言文学类,僧伽罗语,四年
12,文学学士,13900,88,本科,文学,外国语言文学类,泰语,四年
0,文学学士,15600,0,本科,文学,外国语言文学类,乌尔都语,四年
0,文学学士,16500,0,本科,文学,外国语言文学类,希伯来语,四年
27,文学学士,13000,73,本科,文学,外国语言文学类,越南语,四年
0,文学学士,16800,0,本科,文学,外国语言文学类,豪萨语,四年
25,文学学士,17700,75,本科,文学,外国语言文学类,斯瓦希里语,四年
0,文学学士,15800,0,本科,文学,外国语言文学类,阿尔巴尼亚语,四年
0,文学学士,15000,0,本科,文学,外国语言文学类,保加利亚语,四年
0,文学学士,14900,0,本科,文学,外国语言文学类,波兰语,四年
19,文学学士,18100,81,本科,文学,外国语言文学类,捷克语,四年
0,文学学士,15500,0,本科,文学,外国语言文学类,斯洛伐克语,四年
0,文学学士,15300,0,本科,文学,外国语言文学类,罗马尼亚语,四年
20,文学学士,23400,80,本科,文学,外国语言文学类,葡萄牙语,四年
13,文学学士,15400,87,本科,文学,外国语言文学类,瑞典语,四年
100,文学学士,15000,0,本科,文学,外国语言文学类,塞尔维亚语,四年
24,文学学士,14800,76,本科,文学,外国语言文学类,土耳其语,四年
16,文学学士,15800,84,本科,文学,外国语言文学类,希腊语,四年
9,文学学士,15300,91,本科,文学,外国语言文学类,匈牙利语,四年
18,文学学士,16000,82,本科,文学,外国语言文学类,意大利语,四年
0,文学学士,16400,0,本科,文学,外国语言文学类,泰米尔语,四年
17,文学学士,16700,83,本科,文学,外国语言文学类,普什图语,四年
0,文学学士,15000,0,本科,文学,外国语言文学类,世界语,四年
0,文学学士,15500,0,本科,文学,外国语言文学类,孟加拉语,四年
14,文学学士,15500,86,本科,文学,外国语言文学类,尼泊尔语,四年
0,文学学士,15000,0,本科,文学,外国语言文学类,克罗地亚语,四年
17,文学学士,29300,83,本科,文学,外国语言文学类,荷兰语,四年
0,文学学士,15400,0,本科,文学,外国语言文学类,芬兰语,四年
0,文学学士,15600,0,本科,文学,外国语言文学类,乌克兰语,四年
0,文学学士,16100,0,本科,文学,外国语言文学类,挪威语,四年
0,文学学士,15200,0,本科,文学,外国语言文学类,丹麦语,四年
20,文学学士,16100,80,本科,文学,外国语言文学类,冰岛语,四年
0,文学学士,15100,0,本科,文学,外国语言文学类,爱尔兰语,四年
0,文学学士,16200,0,本科,文学,外国语言文学类,拉脱维亚语,四年
0,文学学士,15100,0,本科,文学,外国语言文学类,立陶宛语,四年
0,文学学士,16100,0,本科,文学,外国语言文学类,斯洛文尼亚语,四年
0,文学学士,15300,0,本科,文学,外国语言文学类,爱沙尼亚语,四年
0,文学学士,14800,0,本科,文学,外国语言文学类,马耳他语,四年
0,文学学士,16800,0,本科,文学,外国语言文学类,哈萨克语,四年
0,文学学士,16500,0,本科,文学,外国语言文学类,乌兹别克语,四年
0,文学学士,16600,0,本科,文学,外国语言文学类,祖鲁语,四年
0,文学学士,16300,0,本科,文学,外国语言文学类,拉丁语,四年
13,文学学士,10800,87,本科,文学,外国语言文学类,翻译,四年
14,文学学士,11600,86,本科,文学,外国语言文学类,商务英语,四年
